scope,individual,transition_id,critical_value_source,metadata_json
cm_extension,18511,T3_CM,data_driven_transition_energy_peak,"{""critical_value"": 0.0281686935, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
cm_extension,18517,T3_CM,data_driven_transition_energy_peak,"{""critical_value"": 0.032046941499999995, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
cm_extension,18520,T3_CM,data_driven_transition_energy_peak,"{""critical_value"": 0.013443681499999999, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
cm_extension,18855,T3_CM,data_driven_transition_energy_peak,"{""critical_value"": 0.0360830635, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
cm_extension,18858,T3_CM,data_driven_transition_energy_peak,"{""critical_value"": 0.0186478625, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
cm_extension,18870,T3_CM,data_driven_transition_energy_peak,"{""critical_value"": 0.017458625, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
cm_extension,18907,T3_CM,data_driven_transition_energy_peak,"{""critical_value"": 0.33467607, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
cm_extension,18912,T3_CM,data_driven_transition_energy_peak,"{""critical_value"": 0.043407945, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
cm_extension,19093,T3_CM,data_driven_transition_energy_peak,"{""critical_value"": 0.052113965, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
cm_extension,19193,T3_CM,data_driven_transition_energy_peak,"{""critical_value"": 0.34010684999999996, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
cm_extension,19209,T3_CM,data_driven_transition_energy_peak,"{""critical_value"": 0.0226253125, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
shared_backbone,18489,T2,data_driven_transition_energy_peak,"{""critical_value"": 0.0432921105, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
shared_backbone,18499,T2,data_driven_transition_energy_peak,"{""critical_value"": 0.026195626, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
shared_backbone,18505,T2,data_driven_transition_energy_peak,"{""critical_value"": 0.042544889, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
shared_backbone,18508,T2,data_driven_transition_energy_peak,"{""critical_value"": 0.3386987, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
shared_backbone,18511,T2,data_driven_transition_energy_peak,"{""critical_value"": 0.027544216, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
shared_backbone,18517,T2,data_driven_transition_energy_peak,"{""critical_value"": 0.032046941499999995, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
shared_backbone,18520,T2,data_driven_transition_energy_peak,"{""critical_value"": 0.013443681499999999, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
shared_backbone,18855,T2,data_driven_transition_energy_peak,"{""critical_value"": 0.0360830635, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
shared_backbone,18858,T2,data_driven_transition_energy_peak,"{""critical_value"": 0.0186478625, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
shared_backbone,18870,T2,data_driven_transition_energy_peak,"{""critical_value"": 0.017458625, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
shared_backbone,18907,T2,data_driven_transition_energy_peak,"{""critical_value"": 0.0457722565, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
shared_backbone,18912,T2,data_driven_transition_energy_peak,"{""critical_value"": 0.043407945, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
shared_backbone,19093,T2,data_driven_transition_energy_peak,"{""critical_value"": 0.052113965, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
shared_backbone,19108,T2,data_driven_transition_energy_peak,"{""critical_value"": 0.0260334975, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
shared_backbone,19127,T2,data_driven_transition_energy_peak,"{""critical_value"": 0.036633253000000005, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
shared_backbone,19159,T2,data_driven_transition_energy_peak,"{""critical_value"": 0.0464336405, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
shared_backbone,19190,T2,data_driven_transition_energy_peak,"{""critical_value"": 0.019957391499999998, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
shared_backbone,19193,T2,data_driven_transition_energy_peak,"{""critical_value"": 0.017528632000000002, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
shared_backbone,19209,T2,data_driven_transition_energy_peak,"{""critical_value"": 0.0226253125, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
